Authors,Title,Year,Source Title,Volume,Issue,Start Page,End Page,Article Number,Abstract,DOI,ORCIDs,ISSN,eISSN,ISBN,Publication Date,DOI Link,Pubmed Id
"Basuyaux, O; Blin, JL; Costil, K; Richard, O; Lebel, JM; Serpentini, A",Assessing the impacts of several algae-based diets on cultured European abalone (Haliotis tuberculata),2018,AQUATIC LIVING RESOURCES,31,,,,,"The effects of different algal diets on the mortality, apparent ingestion, weight, length and conversion rates of the European abalone (Haliotis tuberculata) maintained in a semi-closed seawater system throughout the year were compared. Various combinations of red algae (Palmaria palmata, Ceramium rubrum and Chondrus crispus cultured or harvested from the natural environment, as well as Porphyra spp. collected), brown algae (Laminaria digitata) and green algae (fresh or frozen Ulva intestinalis) were tested. The results showed that P. palmata, C. rubrum and U. intestinalis administered alone were associated with significantly higher weight growth rates than the other species of algae tested. However, some combinations of algae (i.e. different proportions of L. digitata in association with P palmata) were more favorable for weight increase when compared with the expected rates calculated for the diet based on L. digitata alone. Limiting the amount of any of these foods substantially reduced the conversion rate. Seasonal trends were apparent in both weight increase and food conversion rates, with the result that growth in weight on a diet of L. digitata was fastest in summer. Growth on P. palmata was faster in each season, and reached a maximum in early spring. The data collected allowed us to model weight increase and month-to-month food conversion rates for a diet based on P. palmata and L. digitata. The data obtained in this study were coupled with data regarding the availability of algae during the year, enabling us to suggest an optimal diet for each of the four seasons. Finally, the effects of different algae diets were investigated on hemocyte parameters, and the result suggested that P. palmata would reinforce the immune system of abalone.",10.1051/alr/2018018,"Serpentini, Antoine/0009-0002-2540-1073",0990-7440,1765-2952,,Oct-10,http://dx.doi.org/10.1051/alr/2018018,
"Udayantha, HMV; Bathige, SDNK; Priyathilaka, TT; Lee, S; Kim, MJ; Lee, J",Identification and characterization of molluscan caveolin-1 ortholog from Haliotis discus discus: Possible involvement in embryogenesis and host defense mechanism against pathogenic stress,2018,GENE EXPRESSION PATTERNS,27,,85,92,,"Caveolins are principal membrane proteins of caveolae that play a central role in signal transduction, substrate transport, and membrane trafficking in various cell types. Numerous studies have reported the crucial role of caveolin-1 (CAV1) in response to invading microbes; yet, very little is known about molluscan CAV1. In this study, we identified and characterized CAV1 ortholog from the disk abalone, Haliotis discus discus (HdCAV1). The cDNA sequence of HdCAV1 is 826 bp long and encodes a 127-amino acid polypeptide. Characteristic caveolin superfamily domain (Glu(3) - Lys(126)) and two possible transmembrane domains (Cys(48) - Tyr(67) and Ile(103) - Phe(120)) were identified in the HdCAV1 protein. Homology analysis revealed that HdCAV1 shared higher identity (>47%) with molluscans, but lower identity with other species. Phylogenetic tree constructed by the neighbor-joining (NJ) method revealed a distinct evolutionary pathway for molluscans. Transcriptional analysis by SYBR Green qPCR showed the highest expression of HdCAV1 mRNA in late veliger stage, as compared to that in other embryonic developmental stages of disk abalone. In adult animals, gill tissue showed highest HdCAV1 transcript levels under normal physiological condition. Stimulations with two bacteria (Vibrio parahaemolyticus and Listeria monocytogenes), viral hemorrhagic septicemia virus, and two pathogen-associated molecular patterns (LPS and poly I:C) significantly modulated the expression of HdCAV1 transcripts. Collectively, these data suggest that CAV1 plays an important role in embryogenesis and host immune defense in disk abalone.",10.1016/j.gep.2017.11.003,"Viraj Udayantha, Herath Mudiyanselage/0009-0007-5569-2840",1567-133X,1872-7298,,JAN,http://dx.doi.org/10.1016/j.gep.2017.11.003,29128397
"Vilchis, LI; Tegner, MJ; Moore, JD; Friedman, CS; Riser, KL; Robbins, TT; Dayton, PK","Ocean warming effects on growth, reproduction, and survivorship of Southern California abalone",2005,ECOLOGICAL APPLICATIONS,15,2,469,480,,"Traditional fisheries management in southern California has failed, in part because it is based on an assumption of an unvarying environment and is focused on size limits rather than insuring the persistence of aggregations of large fecund individuals. The combined effect of low frequency climatic variability and anthropogenic perturbations can have dramatic consequences for abalone in southern California. Abalone species are tightly linked to kelp forest ecosystems that, besides furnishing habitat, also provide the main food source for abalone. In southern California, kelp canopies are very sensitive to oceanographic climate because the kelp depend upon high nutrients in the water column. Oceanic warming, in turn, results in decreased nutrients in the surface water, and this is correlated with marked reductions in giant kelp biomass. Here we address the additive effects of ocean warming on two species of California abalone (the red abalone, Haliotis rufescens; and the green abalone, H.fulgens) by subjecting them to varied environmental conditions similar to cool, normal, and warm phases of the California current in the southern California Bight. Our experimental design simultaneously tested the synergistic effects of temperature and food quantity and quality on survivorship, growth, and reproduction. For red abalone, warm temperatures increased the onset of withering syndrome, a fatal abalone disease, and halted growth and reproduction. In contrast, green abalone survivorship, growth, and reproduction were relatively robust irrespective of temperature, while their growth and reproduction were most strongly influenced by food quantity. We found clear evidence suggesting that, combined with overfishing, California abalone populations are adversely affected by ecosystem responses to ocean warming: Coolwater red abalone suffer stronger consequences in warm water than do green abalone. Conservation, restoration, and recovery plans of remnant California abalone populations must consider these relationships when taking any action.",10.1890/03-5326,,1051-0761,1939-5582,,APR,http://dx.doi.org/10.1890/03-5326,
"LOPEZ, LM; VIANA, MT",DETERMINATION OF THE QUALITY OF FOOD ELABORATED FROM UNHEATED AND HEATED FISH SILAGES FOR ABALONE JUVENILES OF HALIOTIS FULGENS,1995,CIENCIAS MARINAS,21,3,331,342,,"The quality of two artificial diets for the abalone Haliotis fulgens were evaluated through protein leaching, stability analysis, consumption and feed conversion efficiency. The two diets were elaborated from unheated and heated fish silage (greater and lesser grade of hydrolysis, respectively). The results suggested that unheated silage was more stable, but it showed more protein leaching due to its higher water soluble protein. No significant differences were found (P > 0.05) between both treatments. Maximum efficiencies of 1:1.6 and 1:1.1 were obtained for both the unheated and heated silage, respectively.",10.7773/cm.v21i3.994,,0185-3880,,,SEP,http://dx.doi.org/10.7773/cm.v21i3.994,
"DOUROS, WJ",STACKING BEHAVIOR OF AN INTERTIDAL ABALONE - AN ADAPTIVE RESPONSE OR A CONSEQUENCE OF SPACE LIMITATION,1987,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,108,1,1,14,,"Intertidal populations of black abalone Haliotis cracherodii Leach at Santa Cruz Island, California, vary in density among surge channels from < 1 to 126 abalone/m2. Dense populations are characterized by high levels of intraspecific secondary substratum use (stacking) for attachment surfaces, though it is rare in low density areas. Use of shell surfaces by black abalone appears not to be an evolved adaptive strategy. Individuals in stacks fed significantly more than expected, yet solitary abalone next to stacks shared food trapped by stacks. In the laboratory, starvation did not increase the propensity of an abalone to stack. Stacks were equally common in the breeding and non-breeding seasons, suggesting that stacking behavior was not a mechanism to enhance reproductive success. Stacking did not enhance avoidance of predators or competitors. Laboratory experiments showed that stacking is density dependent and probably the result of limitation of primary attachment space. Removals of significant predators (sea otters and Chumash Indians) of adult abalone during the past two centuries probably led to increased densities of black abalone, which in turn has had an indirect effect on the prevalence of stacking.",10.1016/0022-0981(87)90127-4,,0022-0981,1879-1697,,Jun-04,http://dx.doi.org/10.1016/0022-0981(87)90127-4,
"Kawamura, T; Takami, H; Saido, T",Early life ecology of abalone Haliotis discus hannai in relation to recruitment fluctuations,2002,FISHERIES SCIENCE,68,,230,233,,"Natural recruitment of abalone Haliotis discus hannai had remained low in most areas of northeast Japan for many years, despite the release of millions of abalone seed annually. In recent years, however, natural recruitment of H. discus hannai markedly increased in some areas in lwate and Miyagi. The recent new findings on early life ecology of abalone including H. discus hannai, such as larval settlement, post-larval feeding and growth, suggest factors affecting the recruitment of H. discus hannai. Seawater temperature during winter is suggested to affect post-larval and juvenile survival. Starvation of post-larvae due to intense food competition among grazers is considered to be one of the main causes for low survival rates.",10.2331/fishsci.68.sup1_230,"Kawamura, Tomohiko/0009-0008-0086-7428; Takami, Hideki/0000-0001-5083-8539",0919-9268,,,,http://dx.doi.org/10.2331/fishsci.68.sup1_230,
"Gao, XL; Zhang, M; Li, X; Wu, FC; Song, CB; Liu, Y","Effects of stocking density on survival, growth, and food intake of Haliotis discus hannai Ino in recirculating aquaculture systems",2018,AQUACULTURE,482,,221,230,,"To examine the effects of stocking density on growth, food intake, and expression levels of related genes of Haliotis discus hannai Ino in recirculating aquaculture systems, abalones (shell length: 38.42 +/- 2.31 mm, weight: 7.04 +/- 0.89 g) were cultured at three different stocking densities (high [1500/m(2)], medium [1000/m(2)], and low [600/m(2)], 4 replicates each) for 90 d. At the end of the experiment, the survival rate and specific growth rate of weight of abalones in the high-density group were 86.5% and 0.14 mg d(-1), respectively, which were significantly lower than those in the low-and medium-density groups (P < 0.05). The food intake of abalones in the low-density group was significantly higher than that in the medium-and high-density groups (P < 0.05). At days 60 and 90, the food conversion efficiency of abalones in the medium-density group had declined, but it still was significantly higher than that in the high-density group (P < 0.05). At the end of the experiment, the moisture and lactic acid contents of abalones in the high-density group were significantly higher than those in the low-density group. The protein content in the medium-density group decreased over time and became significantly lower than that in the low-density group at day 90 (P < 0.05). The activities of pepsin and cellulase were significantly higher in the low-and medium-density groups than in the high-density group (P < 0.05). At days 60 and 90, the activity of a-amylase in the low-density group was significantly higher than that in the medium-density group (P < 0.05). At the end of the experiment, the expression levels of the polysaccharide cleavage enzyme genes Hdaly and Hdamyl in the low-density group had increased and were significantly higher than those in the medium-and high-density groups (P < 0.05). The expression level of Hdlam in the high-density group was significantly lower than that in the medium-density group (P < 0.05), whereas the expression level of Hdcel in the medium-density group was significantly lower than that in the low-density group (P < 0.05). At the end of the experiment, the expression levels of catalase and glutathione S-transferase in the high-density group were significantly higher than levels in the medium-and low-density groups (P < 0.05). Overall, although food was readily available in this study, abalones had to first search for food and then spend time feeding and ingesting it. For some individuals, such as those in the corners of the tank or under a stack of other abalones, access to food was restricted. Moreover, extra energy expenditure was required to resist oxidative damage. These were the main reasons for the observed slowdown of abalone growth and the increased mortality rate observed in this study.",10.1016/j.aquaculture.2017.07.005,,0044-8486,1873-5622,,Jan-01,http://dx.doi.org/10.1016/j.aquaculture.2017.07.005,
"VIANA, MT; LOPEZ, LM; SALAS, A",DIET DEVELOPMENT FOR JUVENILE ABALONE HALIOTIS-FULGENS EVALUATION OF 2 ARTIFICIAL DIETS AND MACROALGAE,1993,AQUACULTURE,117,1-Feb,149,156,,"Two artificial diets made with local ingredients, fish meal (FM) and casein meal (CM), proved to give better growth than that obtained with macroalgae (MA), the natural food of Haliotis fulgens, a native abalone from the northern coast of Mexico. The experiment was conducted on triplicate groups, each consisting of 20 abalone. The duration of the study was 90 days. Diets were offered as dry pellets of 2 cm2. The growth pattern was very similar for both treatments fed artificial diets (FM and CM), and the highest growth rate was during the first weeks, decreasing gradually thereafter. The abalone fed with FM showed the highest growth rate, being 101 mum per day. The rate at the end of the experiment was 13.5 mum per day. For the CM the daily growth rate decreased from 98 to 17 mum per day. With MA, the growth rate decreased from 25 to 17 mum per day. The decrease in growth rate may be due to several factors.",10.1016/0044-8486(93)90131-H,"Viana, Maria Teresa/0000-0002-3074-767X",0044-8486,,,Nov-01,http://dx.doi.org/10.1016/0044-8486(93)90131-H,
"Demetropoulos, CL; Langdon, CJ","Enhanced production of Pacific dulse (Palmaria mollis) for co-culture with abalone in a land-based system:: nitrogen, phosphorus, and trace metal nutrition",2004,AQUACULTURE,235,1-Apr,433,455,,"Pacific dulse (Palmaria mollis) is a high-quality algal feed for both red abalone (Haliotis rufescens) and Japanese abalone (Haliotis discus hannai); however, culture techniques capable of producing commercial quantities of R mollis are still in development. This study was undertaken to improve our understanding of nutrient requirements and management strategies for P mollis production in intensive, land-based systems. All experiments were conducted under moderate to high artificial light of 24-52 mol photons m(-2) day(-1) and low seawater exchange (1 vol day(-1)), in order to minimize seawater pumping costs. Application of nutrients every 5-7 days resulted in no significant difference in P mollis growth compared with daily applications. Nutrient additions during the dark cycle compared with the light cycle were found to be effective in controlling epiphytes. The addition off medium trace metals (Gran. Can. J. Microbiol. 8 (1962) 229) significantly increased growth rates compared with those of cultures supplied with just nitrate and phosphate alone. The concentration of Zn was increased to equal that of Mn (1.37 M day(-1)), with resulting improvement in yields. NaNO3 as a source of nitrogen was found to be superior for long-term growth (9 weeks) compared with NH4NO3, although NH4NO3 was superior on a short-term basis (first 2-5 weeks). This was likely due to NH4+-N toxicity resulting from the experimental design. While P mollis growth was not significantly different between additions of 1176-2942 muM day(-1) NO3--N (average daily N load), an increasing trend in growth was observed with increasing N loads up to 2942 muM day(-1) NO3--N. P mollis showed a sharp decline in growth with P additions above 83.3 muM day 1 (average daily P load). (C) 2004, Elsevier B.V. All rights reserved.",10.1016/j.aquaculture.2003.09.010,,0044-8486,1873-5622,,Jun-01,http://dx.doi.org/10.1016/j.aquaculture.2003.09.010,
"Castilla-Gavilán, M; Cognie, B; Ragueneau, E; Turpin, V; Decottignies, P","Evaluation of dried macrophytes as an alternative diet for the rearing of the sea urchin Paracentrotus lividus (Lamarck, 1816)",2019,AQUACULTURE RESEARCH,50,7,1762,1769,,"The aim of this work was to assess the potential use of different dried macroalgae as food in the rearing of Paracentrotus lividus. Growth, consumption and food conversions were compared in adult sea urchins fed with fresh or dried thalli of four macroalgae species. Six experimental diets were tested: (a) fresh Palmaria palmata; (b) fresh Saccharina latissima; (c) dry P. palmata; (d) dry S. latissima; (e) dry Laminaria digitata and (f) dry Grateloupia turuturu. Linear growth rates were similar for all treatments. Specific growth rate was higher in sea urchins fed with fresh P. palmata, but no difference was found between animals fed with fresh S. latissima and those fed with dried diets. Regarding daily food consumption (DFC), sea urchins consumed the same amount of dried macroalgae as fresh but exhibited a higher food conversion efficiency (FCE) when fed with fresh P. palmata. However, this FCE was only significantly higher when compared to sea urchins fed with dry L. digitata. Dried G. turuturu is not a suitable diet due to its rapid degradation after rehydration. The results suggest that P. lividus adults can be reared on dried macroalgae thalli without detriment to their somatic growth, especially over short periods. The low cost of feeding sea urchins with this diet could help small shellfish farmers to diversify their production into echinoculture.",10.1111/are.14045,"Castilla-Gavilan, Marta/0000-0002-1935-3311; Cognie, Bruno/0000-0003-1018-5902",1355-557X,1365-2109,,JUL,http://dx.doi.org/10.1111/are.14045,
"Coyne, VE",The importance of ATP in the immune system of molluscs,2011,ISJ-INVERTEBRATE SURVIVAL JOURNAL,8,1,48,55,,"Molluscs rely on an innate immune system for defence against infection. Invading organisms are phagocytosed by circulating hemocytes and neutralised by a combination of hydrolytic enzymes and the production of reactive oxygen species. Phagocytosis, the central feature of the molluscan innate immune system, is an energy-demanding process as a consequence of actin polymerisation which requires a constant supply of ATP. Adenylate kinase, shown to couple local ATP supply and actomyosin assembly in macrophage cell lines, may play a similar role in molluscan hemocytes. Hemocyte conformational changes and chemotaxis are regulated via protein kinase C which is phosphorylated in response to bacterial lipopolysaccharide. ATP utilisation in protein kinase cascades is thought to be quite significant. The vast majority of the ATP required to support cellular functions in animal cells is generated via the mitochondrial electron transport chain. Disruption of this process with antimycin A resulted in a 50 % decrease in ATP levels in Haliotis midae hemocytes which also exhibited reduced phagocytic activity. Phosphoarginine and arginine kinase are thought to play a role in invertebrates that is similar to phosphocreatine and creatine kinase in vertebrates, by supplying additional ATP during periods of high energy demand. The energetically-expensive processes associated with the molluscan innate immune system, such as chemotaxis, phagocytosis, formation and acidification of the phagolysosome, are severely compromised by abiotic stresses such as elevated water temperature and pollutants, reflecting the fine balance that must be maintained to ensure sufficient ATP is available for both general metabolism and the immune response.",,,1824-307X,,,,,
"Guo, XY; Huang, MQ; Luo, X; You, WW; Ke, CH",Effects of one-year exposure to ocean acidification on two species of abalone,2022,SCIENCE OF THE TOTAL ENVIRONMENT,852,,,,158144,"Ocean acidification (OA) resulting from the absorption of excess atmospheric CO2 by the ocean threatens the survival of marine calcareous organisms, including mollusks. This study investigated the effects of OA on adults of two abalone species (Haliotis diversicolor, a subtropical species, and Haliotis discus hannai, a temperate species). Abalone were exposed to three pCO(2) conditions for 1 year (ambient, similar to 880, and similar to 1600 mu atm), and parameters, induding mortality, physiology, immune system, biochemistry, and carry-over effects, were measured. Survival decreased significantly at similar to 800 mu atm pCO(2) for H. diversicolor, while H. discus hannai survival was negatively affected only at a higher OA level (similar to 1600 mu aim pCO(2)). H. diversicolor exhibited depressed metabolic and excretion rates and a higher O:N ratio under OA, indicating a shift to lipids as a metabolism substrate, while these physiological parameters in H. discus hannai were robust to OA. Both abalone failed to compensate for the pH decrease of their internal fluids because of the lowered hemolymph pH under OA. However, the reduced hcmolymph pH did not affect total hemocytc counts or tested biomarkers. Additionally, H. discus hannai increased its hemolyrnph protein content under OA, which could indicate enhanced immunity. larvae produced by adults exposed to the three pCO(2) levels were cultured in the same pCO(2) conditions and larval deformation and shell length were measured to observe carry-over effects. Enhanced OA tolerance was observed for H. discus hannai exposed under both of the OA treatments, while that was only observed following parental pCO(2) similar to 880 mu atm exposure for H. diversicolor. Following pCO(2) similar to 1600 mu atm parental exposure, H. diversicolor offspring exhibited higher deformation and lower shell growth in all pCO(2) treatments. In general, H. diversicolor were more susceptible to OA compared with H. discus hannai, suggesting that H. diversicolor could be unable to adapt to acidified oceans in the future.",10.1016/j.scitotenv.2022.158144,,0048-9697,1879-1026,,Dec-15,http://dx.doi.org/10.1016/j.scitotenv.2022.158144,35988613
"Alcantara, LB; Noro, T",Effects of macroalgal type and water temperature on macroalgal consumption rates of the abalone Haliotis diversicolor Reeve,2005,JOURNAL OF SHELLFISH RESEARCH,24,4,1169,1177,,"The Japanese abalone tokobushi (Haliotis diversicolor Reeve) supports a valuable fishery off Tanegashima Island, southern Japan. However, catches have been declining, probably caused by over harvesting and other factors. Understanding the effects of macroalgal type and water temperature on the consumption rates of tokobushi has applications for the management of its population such as to identify sites with appropriate quality and quantity of macroalgae and the favorable water temperature during stock enhancement. Under controlled conditions, the effects of macroalgal type and water temperature on the macroalgal consumption rates of tokobushi were evaluated. On a short-term basis (24-h feeding), consumption rates were higher on leathery brown algae (Sargassum fusiforme, Sargassran patens. Sargassran duplicatum, Sargassum alternato-pinnatum, Undaria pinnatifida and Laminaria japonica), corticated red algae (Acanthophora spicifera, Gracilaria gigas. Carpopeltis affinis and Ceramium sp.) and foliose green algae (Ulva pertusa and Enteromorpha intestinates) than on siphonous green algae (Codium spp.) and filamentous green algae (Chaetomorpha crassa and Cladophoropsis zollingeri). Averaged across 20 species of macroalgae, the mean consumption rate was 4.96 +/- 0.27%wet-TW.d(-1) (wet alga and wet abalone; TW = total weight) or 1.37 +/- 0.19%dryTW.d(-1) (dry alga and dry abalone). On a long-term basis (20 days feeding), tokobushi had higher consumption rates on the green alga Ulva pertusa and the brown alga Sargassum fusiforme than on the red alga Meristotheca papulosa. When presented with a choice of species (3 days feeding), tokobushi ate more of the brown alga Sargassum fusiforme and the red alga Gracilaria gigas than the green alga Codium cylindricum. Consumption rates generally increased with temperature. Generally, tokobushi prefer macroalgae with high percent dry weight composition, most of which are brown and red algae, and eat more at water temperatures around spring/fall (17 degrees C. 21 degrees C) and summer (27 degrees C) in Kagoshima, Japan.",,,0730-8000,1943-6319,,DEC,,
"Mai, KS; Zhang, WB; Tan, BP; He, G",Effects of dietary zinc on the shell biomineralization in abalone Haliotis discus hannai Ino,2003,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,283,1-Feb,51,62,PII S0022-0981(02)00472-0,"A study was conducted to investigate the relationship between dietary zinc and shell biomineralization in abalone Haliotis discus hannai Inc. Seven triplicate groups of juvenile abalone (mean weight: 0.74 +/- 0.01 g; mean shell length: 16.41 +/- 0.04 mm) were fed with one of seven semi-purified diets containing graded levels of dietary zinc (5.6, 10.7, 15.1, 25.2, 34.7, 45.3 and 84.6 mg/kg). To better understand the effects of dietary zinc on the shell deposition, the newly grown shell (NS) was separated from the old shell (OS) after a 16-week rearing period. Mineralogical (aragonite, calcite and dolomite [CaMg(CO3)(2)]) and chemical (Zn, Fe, Mg, Cu and Sr) compositions in both NS and OS were analyzed. Soluble matrix proteins (SMP) were extracted from both OS and NS, followed by amino acid composition analyses. The results showed that mineralogical and chemical compositions in OS were not significantly influenced by dietary zinc. In NS, however, increasing dietary zinc significantly decreased aragonite content, but significantly increased calcite content. Concentrations of Zn and Fe in NS significantly increased with dietary zinc. Patterns of amino acid compositions in NS significantly changed with dietary zinc levels. The ratio of acidic/basic amino acids positively correlated with the ratio of calcite/aragonite in NS. (C) 2003 Elsevier Science B.V. All rights reserved.",10.1016/S0022-0981(02)00472-0,,0022-0981,,,Jan-15,http://dx.doi.org/10.1016/S0022-0981(02)00472-0,
"Friedman, CS; Thomson, M; Chun, C; Haaker, PL; Hedrick, RP","Withering syndrome of the black abalone, Haliotis cracherodii (Leach): Water temperature, food availability, and parasites as possible causes",1997,JOURNAL OF SHELLFISH RESEARCH,16,2,403,411,,"Withering syndrome (WS) has affected black abalone since the mid-1980s. We investigated the potential roles of elevated water temperature, food availability, and parasites (renal coccidia and rickettsiales-like procaryotes or RLPs) in this disease. Results from a temperature-feeding experiment suggested that elevated water temperature was not a direct cause of WS, but accelerated mortality. At a particular water temperature, both fed and starved abalone had similar survival. Abalone with WS fed on kelp until the animal reached the terminal stages of the disease, when visible atrophy of the foot muscle was easily observed. However, fed abalone held at an elevated water temperature, 20 degrees C, had decreased survival relative to those held at 13 degrees C. The lack of food in our investigations did not appear to be a direct cause of WS. In addition, no consistent statistically significant associations were identified between abalone condition and intensity of coccidian infection in both field and laboratory studies. No association was found between condition of the digestive gland and intensity of the RLP infection in our laboratory study. However, all abalone with degenerated digestive glands had visible signs of WS. Time to abalone death did not correlate with intensity of RLP infection, except in a pool of the 13 degrees C treatments and possibly the 13 degrees C starved treatment. Thus, at lower seawater temperatures, the RLP may affect survival. The significance of this observation may have resulted from small sample sizes. Only 22 abalone were included in the 13 degrees C treatment, and 4 of these were in the starved treatment. These data suggest that further investigation of the role of the RLP in WS is needed.",,,0730-8000,1943-6319,,DEC,,
"Pace, DA; Manahan, DT",Efficiencies and costs of larval growth in different food environments (Asteroidea: Asterina miniata),2007,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,353,1,89,106,,"The ocean is a nutritionally heterogeneous environment. For feeding larval forms, food variability has significant consequences for growth and later recruitment success. In this study, the physiological and biochemical responses to a range of different food concentrations (unfed, 4, 20, and 40 algal cells mu l(-1)) were examined in larvae of the asteroid, Asterina miniata. Measurements of growth, protein synthesis rates, and the energetic cost of protein synthesis were made. Under conditions of rapid growth, protein comprised a larger percent (66%) of a larva's organic biomass compared to similar-aged, slower-growing larvae (26%). Larvae fed at the highest food concentration tested (40 algal cells mu l(-1)) had a protein depositional efficiency of 80% (+/-16%), a value 3-fold higher than larvae fed 20 algal cells mu l(-1) (28%+/-11%). Also, faster-growing larvae required 3-fold less energy per unit mass of protein growth. Larvae fed 40 algal cells mu l(-1) deposited protein at a respiratory cost of 65+/-11 pmol O-2 h(-1) (mu g protein)(-1); larvae fed 20 algal cells mu l(-1) had a cost of 192+/-47 pmol O-2 h(-1) (mu g protein)(-1). While there were differences in the cost to deposit protein (i.e., protein growth, the balance of synthesis and degradation), there were no differences in the energetic cost of protein synthesis for all food concentrations tested. The energetic cost of protein synthesis was fixed at 13.8 (+/-0.92) Joules (mg protein synthesized)(-1) and was independent of developmental stage, growth rates, and large changes (58-fold) in protein synthesis rates. A major conclusion from this study is that larvae grown in high-food environments not only grew faster, but did so for considerably less energy. Defining the complex relationships of food availability and metabolic efficiency will provide more accurate predictions of larval growth under variable food conditions in the ocean. (C) 2007 Elsevier B.V. All rights reserved.",10.1016/j.jembe.2007.09.005,,0022-0981,,,Dec-21,http://dx.doi.org/10.1016/j.jembe.2007.09.005,
"Wen, B; Sun, YJ; Gao, QF; Dong, SL; Chen, ZZ; Gao, JZ",Effects of dietary macroalgae meal and lipid source on growth performance and body wall fatty acid composition of sea cucumber Apostichopus japonicus,2018,AQUACULTURE RESEARCH,49,2,776,785,,"A 70-day experiment was conducted to examine the effects of different macroalgal meals and lipid sources on growth, body wall composition and fatty acid (FA) profile of sea cucumber Apostichopus japonicus. Two macroalgal meals including Sargassum muticum (SM) and Gracilaria lemaneiformis (GL) and two lipid sources including fish oil (FO) and vegetable oil (VO) were formulated into four diets, i.e., S. muticum and fish oil (SF), S.muticum and vegetable oil (SV), G. lemaneiformis and fish oil (GF) and G. lemaneiformis and vegetable oil (GV). The results showed that the specific growth rates (SGR) of A. japonicus fed diets containing SM were significantly higher than those fed diets containing GL. No significant differences in SGR between the FO-based and VO-based groups were observed. Similar results were observed in the body wall lipid content. Most body wall FAs changed to resemble the dietary FA proportions because of the dietary effect. Concentrations of 20:4n-6 of the SF and GF groups were significantly lower than the SV and GV groups, while levels of 20:5n-3 and 22:6n-3 were significantly higher than the SV and GV groups. The n-3/n-6 polyunsaturated fatty acids (PUFA) ratios of the SF and GF groups were significantly higher than the SV and GV groups. Moreover, the SF group had significantly higher 20:5n-3 and 22:6n-3 contents and n-3/n-6 PUFAs ratio than the GF group. These findings reveal that the SF diet can show beneficial effects on both growth performance and body wall n-3 PUFAs content of A. japonicus.",10.1111/are.13508,"Dong, Shuanglin/0000-0003-0320-9136; Gao, Qin-Feng/0000-0003-2954-5082; Chen, Zaizhong/0000-0001-5006-4844",1355-557X,1365-2109,,FEB,http://dx.doi.org/10.1111/are.13508,
"Robinson, G; Caldwell, GS; Jones, CLW; Stead, SM",The effect of resource quality on the growth of Holothuria scabra during aquaculture waste bioremediation,2019,AQUACULTURE,499,,101,108,,"Reducing dependency on environmentally unsustainable formulated feeds, most of which include limited reserves of fishmeal as a protein source, is a priority for the aquaculture industry, particularly for intensive culture systems. One approach is to increase nitrogen reuse within the system by feeding nitrogen-rich aquaculture effluent to deposit feeders, thereby closing the aquaculture nitrogen-loop. This study, for the first time and on a laboratory-scale, has reared juveniles of the sea cucumber Holothuria scabra at high densities solely on particulate organic waste from a commercial-scale land-based abalone recirculating aquaculture system. Furthermore, growth rates and biomass yields were increased significantly by adjusting the effluent C:N from 5:1 to 20:1 by adding exogenous organic carbon sources (glucose, starch and cellulose), so fuelling accelerated heterotrophic bacterial production within the redox-stratified tank sediment. Sea cucumber juveniles reared solely on effluent had a biomass density of 711 gm(-2) after four months whereas animals reared on starch-amended effluent (the best performing treatment) had a final density of 1011 gm(-2). Further optimisation of this approach could increase biomass yields and pave the way for the commercial cultivation of deposit feeding animals on waste streams, thus contributing to more environmentally sustainable aquaculture. Here, the nitrogen that originated from fishmeal is not lost through the discharge of aquaculture effluent; rather, it is immobilised into single cell biomass that is up-cycled into high-value secondary biomass. We demonstrate that sea cucumbers can be produced at high density through the manipulation of the C:N ratio of aquaculture effluent.",10.1016/j.aquaculture.2018.09.024,"Jones, Clifford/0000-0001-8394-1890; CALDWELL, GARY/0000-0001-5687-6894",0044-8486,1873-5622,,Jan-15,http://dx.doi.org/10.1016/j.aquaculture.2018.09.024,
