Authors,Title,Year,Source.Title,Volume,Issue,Start.Page,End.Page,Article.Number,Abstract,DOI
"Zhang, WJ; Chen, XH; Jiang, HJ; Wang, Z; Wang, BF; Zhan, YY; Qi, SB; Chang, YQ",Interactive effects of family and stocking density on survival and growth of the sea urchin Strongylocentrotus intermedius,2019,JOURNAL OF THE WORLD AQUACULTURE SOCIETY,50,5,969,982,,"To investigate the effects of family, stocking density, and their interaction on mortality, growth rate, and size dispersal in the sea urchin Strongylocentrotus intermedius, 1,440 juveniles from six full-sib families were exposed to three stocking densities, that is, low stocking density (LD), middle stocking density (MD), and high stocking density (HD), and reared for 10 months in sea-based suspended cages. The results demonstrated significant family effects on cumulative mortality rate (CMR); specific growth rate for test diameter (SGR for TD); specific growth rate for body weight (SGR for BW); coefficient of variation for body weight at the 10th month (CV for BW10); and significant stocking density effects on SGR for TD, SGR for BW, and CV for BW10. Statistically significant family by stocking density interaction was only found in SGR for TD. A certain degree of family-ranking inversions occurred in SGR for TD. The present study provides evidence for the existence of family by stocking density interaction on the growth rate of test diameter in the family selection for S. intermedius. More attention should be paid to this interaction effect to select correct parents in S. intermedius.",10.1111/jwas.12601
"Johnson, CK; Tinker, MT; Estes, JA; Conrad, PA; Staedler, M; Miller, MA; Jessup, DA; Mazet, JAK",Prey choice and habitat use drive sea otter pathogen exposure in a resource-limited coastal system,2009,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,106,7,2242,2247,,"The processes promoting disease in wild animal populations are highly complex, yet identifying these processes is critically important for conservation when disease is limiting a population. By combining field studies with epidemiologic tools, we evaluated the relationship between key factors impeding southern sea otter (Enhydra lutris nereis) population growth: disease and resource limitation. This threatened population has struggled to recover despite protection, so we followed radio-tagged sea otters and evaluated infection with 2 disease-causing protozoal pathogens, Toxoplasma gondii and Sarcocystis neurona, to reveal risks that increased the likelihood of pathogen exposure. We identified patterns of pathogen infection that are linked to individual animal behavior, prey choice, and habitat use. We detected a high-risk spatial cluster of S. neurona infections in otters with home ranges in southern Monterey Bay and a coastal segment near San Simeon and Cambria where otters had high levels of infection with T. gondii. We found that otters feeding on abalone, which is the preferred prey in a resource-abundant marine ecosystem, had a very low risk of infection with either pathogen, whereas otters consuming small marine snails were more likely to be infected with T. gondii. Individual dietary specialization in sea otters is an adaptive mechanism for coping with limited food resources along central coastal California. High levels of infection with protozoal pathogens may be an adverse consequence of dietary specialization in this threatened species, with both depleted resources and disease working synergistically to limit recovery.",10.1073/pnas.0806449106
"Aguirre, JD; McNaught, DC",Habitat modification affects recruitment of abalone in central New Zealand,2011,MARINE BIOLOGY,158,3,505,513,,"The habitat experienced during early life-history stages can determine the number and quality of individuals that recruit to adult populations. In a field experiment, biogenic habitat complexity was manipulated (presence or absence of foliose macroalgae) at two depths (2-3 m and 5-6 m) and the habitat-dependent effects on recruitment of the black foot abalone (Haliotis iris) were examined at three field sites along the south coast of Wellington, New Zealand (41A degrees 20'S, 174A degrees 47'E), between July and November 2005. Recruit density (< 5 weeks post-settlement) was measured on cobbles covered with crustose coralline algae. Habitats of low complexity (barrens treatments) had consistently greater densities of recruits than habitats of high complexity (algae treatments). However, recruits in algae habitats were larger, and for deep habitats, there was greater survival in algae habitats compared with barrens habitats. While depth had no significant effect on early recruit (< 2 weeks post-settlement) density, late recruit (< 5 weeks post-settlement) density was greater in shallow habitats, and so it seems recruit survival was greater in shallow habitats. In this experiment, algal habitat complexity had strong effects on early recruit abundance, but habitat-dependent variations in recruit growth and survival may modify initial patterns of abundance and determine recruitment to adult abalone populations.",10.1007/s00227-010-1576-4
"Seto, Y; Komatsu, M; Wakabayashi, K; Fujita, D","Asexual reproduction of Coscinasterias acutispina (Stimpson, 1862) in tank culture",2013,CAHIERS DE BIOLOGIE MARINE,54,4,641,647,,"Coscinasterias acutispina is a multi-armed fissiparous sea star notorious for vigorous predation on the juveniles of abalone (e.g. Nardotis discus hannai) and the horned turban snail (e.g. Turbo cornutus). In the present study, the relationship between fission of the sea star and water temperature and nutritional condition was examined in three series of culture experiments. Twenty eight C. acutispina were kept individually in a concrete tank with running seawater (10-28 degrees C) and fed mussels for sixteen months. Twenty one of them divided once or more during the experiment. Forty three underwent fission. One occurred from August to December when the water temperature was relatively high (>18 degrees C). Under controlled water temperature conditions, 90% of C. acutispina divided at temperatures > 19 degrees C, whereas only 7 % of them divided at temperatures < 13 degrees C. Fourteen sister pairs of two small individuals derived from one sea star by fission were kept under different nutritional conditions of either starved or fed mussels (Mytilus galloprovincialis) ad libitum for more than a year. The starved individuals never divided, while almost all the fed sea stars divided at least once. These results suggest that both water temperature and nutritional conditions influence the frequency of fission in C. acutispina.",
"Anderson, RJ; Rand, A; Rothman, MD; Share, A; Bolton, JJ",Mapping and quantifying the South African kelp resource,2007,AFRICAN JOURNAL OF MARINE SCIENCE,29,3,369,378,,"Two species of kelp are exploited commercially in South Africa. Use of beach-cast Laminaria pallida is limited, although it comprises the bulk of the biomass on the northern West Coast. Ecklonia maxima dominates the southern West Coast and provides most of the material for the South African kelp industry. Harvests of E. maxima fronds for abalone feed have reached 3 000 -5 000 tonnes fresh weight (t f wt) y(-1), whereas beach-cast material of both species (about 1 000t dry wt y(-1)) is collected mainly for alginate extraction. For the first time, a South African kelp inventory has been compiled using all available data for the 900km-long West Coast (Cape Agulhas to the Orange River), although a few gaps remain. Beds of E. maxima and L. pallida reaching the surface at low spring tides were mapped using one or several methods: infrared aerial photography, digital multispectral aerial imagery, Landsat satellite imagery, and physical mapping with a hand-held GPS. The data are on a GIS database. Landsat 5 TM imagery could identify the presence of kelp beds, but only infrared aerial imagery and multispectral imaging at low spring tides accurately quantified surface areas of kelp beds. Biomass of the main kelp (E. maxima) is variable in space (between 3kg f wt m(-2) and 24kg f wt m(-2)) and time (changes of up to 50%), making estimates for management difficult. Using an average biomass value of 12kg m(-2), the total biomass of surface-reaching kelp beds on the West Coast is estimated to exceed 593 000t f wt, but extensive subsurface beds remain unquantified. Results are discussed in relation to sustainable limits to harvesting, gaps in knowledge, and the improved management of kelp resources.",10.2989/AJMS.2007.29.3.5.335
"Yin, ZH; Liu, JY; Yu, WC; Shen, YW; Gan, Y; Chen, YX; Ke, JW; Luo, X; Ke, CH; You, WW",Seasonal variation in two culture systems and genome-wide association analysis of taurine content in the foot muscles of the Pacific abalone (Haliotis discus hannai),2025,AQUACULTURE,604,,,,742431,"Abalone is one of the most economically valuable shellfish in the world's aquaculture industry, and as production has increased, it has led to a diversification of market quality needs. Taurine, an essential amino acid component, has yet to be well investigated for its seasonal variation and genetically associated genes or loci in Pacific abalone (Haliotis discus hannai). In this study, we investigated the variation of taurine content in different seasons under two typical culturing systems in southern China. In addition, we conducted a genome-wide association study (GWAS) with 274 abalone array sequencing and phenotypic data of taurine content. The results revealed that the taurine content showed a trend of significantly decreasing and then increasing with seasonal changes. Individuals farmed in land-based industrial culture system had a greater taurine content than those farmed in sea-based floating raft culture system, with notable differences observed between May and September. A total of 69,530 high-quality SNPs and 274 individuals were identified by quality control. And 32 significantly related SNP loci of taurine content were identified by GWAS, with chromosome 9 hosting the lowest P value. A total of 33 candidate genes, including SLC6A7, EGF1, B3gnt6, and Ptpra, were annotated. These genes may be connected to amino acid synthesis, transmembrane transport, energy production, protein phosphorylation, and other processes. Among them, genes belonging to the SLC6A family may be the key gene taurine content. This study helped us better understand the genetics of the taurine content of Pacific abalone.",10.1016/j.aquaculture.2025.742431
"Nunes, C; Ramirez, A; Rodeia, J; Isidro, E; De Girolamo, M","Development of Limpet aquaculture: Advances on settlement and early growth of Patella aspera Roding, 1798",2024,AQUACULTURE REPORTS,34,,,,101906,"The limpet Patella aspera is an endemic species to the Macaronesian Islands. Its high economic value and vulnerability to exploitation has triggered the interest in the development of its aquaculture. Significant progress has been made in recent years, with the establishment of artificial fertilization and larval production protocols. However, there are at least two major challenges that need to be addressed before a commercial production can be achieved: larval settlement and juvenile grow-out. The aim of this research was to study the effect of different algae substrates (Ulvella lens, Amphora sp., Entomoneis sp., Navicula salinicola and Nitzschia sp.) on P. aspera settlement and to test the effect of two diets on juvenile growth: a mono diet based on U. lens versus a mixed diet composed by U. lens and the diatoms Nitzschia sp. and Navicula salinicola. Results showed that U. lens was the most efficient settlement cue, given that 84.6% of the post-larvae obtained were found on this algae substrate. In the following trial, U. lens was selected as the base diet for the grow-out phase. The rearing system used ensured juvenile survival percentages above 80%. The regular supply of the diatom mixture, as a dietary supplement, significantly enhanced juvenile growth performance. After 220 days post fertilization, limpets that grew on the mixed diet (U. lens plus diatoms) presented an average shell length of 19.280 +/- 5.296 mm. Additionally, developed gonads were observed in females with less than 8 months. This study presents the first record of P. aspera juvenile grow-out, born from artificial fertilization, which represents a major step toward the development of limpet aquaculture.",10.1016/j.aqrep.2023.101906
"Li, A; Li, JQ; Liu, LL; Xue, SY; Zhu, L; Mao, YZ",Path analysis of body weight and shell morphological traits in two Pacific abalone (Haliotis discus hannai) strains,2024,AQUACULTURE INTERNATIONAL,32,3,2493,2505,,"The effect of morphological traits on the body weight of Pacific abalone (Haliotis discus hannai) was investigated by correlation analysis, path analysis and multiple regression analysis. We evaluated the relationships between shell length (SL), shell width (SW) and body weight (BW, the total wet weight) in two different strains of Pacific abalone. One strain is 'Huangxun No. 1', which is from the fifth generation of a novel strain that has experienced higher shell growth rate selection, and the other strain is a first-generation descendant of wild Pacific abalone. The results of the correlation analysis showed that both SL and SW were significantly (p < 0.05) positively correlated with BW in both strains. Path analysis showed that SL significantly affected the BW of the 'Huangxun No. 1' strain, while SW significantly affected BW at only one of the four ages tested. Both SL and SW significantly affected the BW of the wild strain at the four ages tested. The determination coefficients of SL on BW in the 'Huangxun No. 1' strain at 3, 6, 13 and 19 months of age were 0.835, 0.141, 0.834 and 0.708, respectively, while those in the wild strain were 0.476, 0.237, 0.344 and 0.141, respectively. In addition, the SL/SW in the 'Huangxun No. 1' strain ranged from 1.453 to 1.509, while that of the wild-type strain ranged from 1.389 to 1.497. The allometric growth analyses showed positive allometric growth for 'Huangxun No. 1' from 3 to 19 months of age, while the wild strain did not show such growth. These results suggest that multiple generations of selection for a higher SL growth rate may have led to variation in shell morphological traits and that shell width may be a less important factor in determining body weight in the 'Huangxun No. 1' strain, while shell length can be used as an effective morphological trait for selective breeding to increase body weight.",10.1007/s10499-023-01281-7
"Walton, K; Scarsbrook, L; Mitchell, KJ; Verry, AJF; Marshall, BA; Rawlence, NJ; Spencer, HG",Application of palaeogenetic techniques to historic mollusc shells reveals phylogeographic structure in a New Zealand abalone,2023,MOLECULAR ECOLOGY RESOURCES,23,1,118,130,,"Natural history collections worldwide contain a plethora of mollusc shells. Recent studies have detailed the sequencing of DNA extracted from shells up to thousands of years old and from various taphonomic and preservational contexts. However, previous approaches have largely addressed methodological rather than evolutionary research questions. Here, we report the generation of DNA sequence data from mollusc shells using such techniques, applied to Haliotis virginea Gmelin, 1791, a New Zealand abalone, in which morphological variation has led to the recognition of several forms and subspecies. We successfully recovered near-complete mitogenomes from 22 specimens including 12 dry-preserved shells up to 60 years old. We used a combination of palaeogenetic techniques that have not previously been applied to shell, including DNA extraction optimized for ultra-short fragments and hybridization-capture of single-stranded DNA libraries. Phylogenetic analyses revealed three major, well-supported clades comprising samples from: (1) The Three Kings Islands; (2) the Auckland, Chatham and Antipodes Islands; and (3) mainland New Zealand and Campbell Island. This phylogeographic structure does not correspond to the currently recognized forms. Critically, our nonreliance on freshly collected or ethanol-preserved samples enabled inclusion of topotypes of all recognized subspecies as well as additional difficult-to-sample populations. Broader application of these comparatively cost-effective and reliable methods to modern, historical, archaeological and palaeontological shell samples has the potential to revolutionize invertebrate genetic research.",10.1111/1755-0998.13696
"Zhang, M; Gao, XL; Lyu, MX; Lin, SH; Luo, X; You, WW; Ke, CH",AMPK regulates behavior and physiological plasticity of Haliotis discus hannai under different spectral compositions,2022,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,242,,,,113873,"In natural environments, the spectral composition of incident light is often subject to drastic changes due to the abundance of suspended particles, floating animals, and plants in coastal waters. In this study, after four months of culturing under blue light (NB), orange light (NY), dark environment (ND), and natural light (NN), the shell length and weight-specific growth rate in Pacific abalone, Haliotis discus hannai, were ranked in the following order: NY > NN > ND > NB. To understand the growth differences in abalone under these different light en-vironments, we first performed 24-h video monitoring and found that the cumulative movement distance and duration were lowest in group NB, whereas the cumulative movement distance and duration were significantly higher in group ND than in any other group (P < 0.05). In group NB, the time spent hidden underneath the attachment substrate accounted for 81% of the resting time, but this ratio was lowest in group ND, at only 37% (P < 0.05). Next, LC-MS metabolomics identified 201 and 105 metabolites in NB vs. NN, ND vs. NN, and NY vs. NN under the positive and negative ion modes, respectively. According to the fold changes and annotations for differential metabolites in the KEGG enrichment pathways, adenosine, NAD+, cGMP, and arachidonic acid were used as differential metabolism markers, and the AMPK signaling pathway was enriched in every comparison group, and thus investigated further. The gene sequences of three subtypes of AMPK were obtained by cloning and we found that the expression levels of AMPK alpha and AMPK gamma, and the AMP content were significantly higher in group NB than in any other group (P < 0.05). In addition, the ATP contents and adenylate energy charge values were ranked in the following order: NY > NN > ND > NB. According to in situ hybridization analysis, the three subtype genes were widely expressed in the hepatopancreas. Finally, the contents of many lipid metabolites differed significantly among groups and the expression levels of the triglyceride hydrolysis-related gene hormone sensitive lipase and fatty acid oxidation-related gene carnitine palmitoyltransferase 1 were higher in groups ND and NB than in groups NN and NY according to fluorescence quantification PCR (P < 0.05). The expression levels of fatty acid synthase and acetyl-CoA carboxylase were significantly lower in groups ND and NB than in groups NN and NY (P < 0.05). These findings indicated that differences in the spectral composition of incident light could reshape the behavior and physiological metabolism in abalone by influencing the energy switch  AMPK, thereby providing some insights into the mechanisms that allow nocturnal marine organisms to adapt to different lighting environments.",10.1016/j.ecoenv.2022.113873
"Reigado, GR; Adriani, PP; dos Santos, JF; Freitas, BL; Fernandes, MTP; Alcalde, FSC; Leo, P; Nunes, VA",Delivery of superoxide dismutase by TAT and abalone peptides for the protection of skin cells against oxidative stress,2022,BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY,69,6,2673,2685,,"Trichoderma reesei superoxide dismutase (TrSOD) is a well-characterized enzyme being stable between 30 and 90. C for 1 h with activity at pH between 2.6 and 9.0. This work aimed to clone, express, purify, and evaluate the protective effect antioxidant of this enzyme on skin cells when fused to transactivator of transcription (TAT) protein transduction domain of HIV-1 and abalone (Ab) peptides to allow cell penetration. TrSOD, TAT-TrSOD-Yfp (fused to yellow fluorescent protein), and Ab-TrSOD were expressed in E. coli and purified as soluble proteins. The cytotoxicity of the enzymes, at the concentrations of 1, 3, and 6 mu mol/L, was evaluated for a period of 24 and 48 h of incubation, with no cytotoxic effect on 3T3 fibroblasts. The 3T3 cells were exposed to the oxidant agent tert-butyl hydroperoxide and evaluated for reactive oxygen species (ROS) generation, in the presence or not of the recombinant enzymes. TAT-TrSOD-Yfp was able to decrease the generation of ROS by 15% when used in the concentrations of 3 and 6 mu mol/L in comparison to the control, but there was no difference in relation to the effect of TrSOD. Ab-TrSOD, when compared to TrSOD, promoted a decrease in the formation of ROS of 19% and 14% at the concentrations of 1 and 6 mu mol/L, respectively, indicating that this recombinant form was more effective in reducing oxidative stress compared to SOD without the cell-penetrating peptide (CPP). Together, these results indicate that the fusion of SOD with these CPP increased the antioxidant capacity of fibroblasts, identified by the reduction in the generation of ROS. In addition, such molecules, in the concentrations initially used, were not toxic to the cells, opening perspectives for the development of products for antioxidant protection of the skin that may have therapeutic and cosmetic application.",10.1002/bab.2314
"Gong, F; Chen, MF; Zhang, YY; Li, CY; Zhou, CX; Hong, PZ; Sun, SL; Qian, ZJ",A Novel Peptide from Abalone (Haliotis discus hannai) to Suppress Metastasis and Vasculogenic Mimicry of Tumor Cells and Enhance Anti-Tumor Effect In Vitro,2019,MARINE DRUGS,17,4,,,244,"Vasculogenic mimicry (VM) formed by tumor cells plays a vital role in the progress of tumor, because it provides nutrition for tumor cells and takes away the metabolites. Therefore, the inhibition of VM is crucial to the clinical treatment of tumors. In this study, we investigated the anti-tumor effect of a novel peptide, KVEPQDPSEW (AATP), isolated from abalone (Haliotis discus hannai) on HT1080 cells by migration, invasion analysis and the mode of action. The results showed that AATP effectively inhibited MMPs by blocking MAPKs and NF-B pathways, leading to the downregulation of metastasis of tumor cells. Moreover, AATP significantly inhibited VM and pro-angiogenic factors, including VEGF and MMPs by suppression of AKT/mTOR signaling. In addition, molecular docking was used to study the interaction of AATP and HIF-1, and the results showed that AATP was combined with an active site of HIF-1 by a hydrogen bond. The effect of AATP on anti-metastatic and anti-vascular in HT1080 cells revealed that AATP may be a potential lead compound for treatment of tumors in the future.",10.3390/md17040244
"Wang, TF; Nuurai, P; McDougall, C; York, PS; Bose, U; Degnan, BM; Cummins, SF",Identification of a female spawn-associated Kazal-type inhibitor from the tropical abalone Haliotis asinina,2016,JOURNAL OF PEPTIDE SCIENCE,22,7,461,470,,"Abalone (Haliotis) undergoes a period of reproductive maturation, followed by the synchronous release of gametes, called broadcast spawning. Field and laboratory studies have shown that the tropical species Haliotis asinina undergoes a two-week spawning cycle, thus providing an excellent opportunity to investigate the presence of endogenous spawning-associated peptides. In female H. asinina, we have isolated a peptide (5145Da) whose relative abundance in hemolymph increases substantially just prior to spawning and is still detected using reverse-phase high-performance liquid chromatography chromatograms up to 1-day post-spawn. We have isolated this peptide from female hemolymph as well as samples prepared from the gravid female gonad, and demonstrated through comparative sequence analysis that it contains features characteristic of Kazal-type proteinase inhibitors (KPIs). Has-KPI is expressed specifically within the gonad of adult females. A recombinant Has-KPI was generated using a yeast expression system. The recombinant Has-KPI does not induce premature spawning of female H. asinina when administered intramuscularly. However it displays homomeric aggregations and interaction with at least one mollusc-type neuropeptide (LRDFVamide), suggesting a role for it in regulating neuropeptide endocrine communication. This research provides new understanding of a peptide that can regulate reproductive processes in female abalone, which has the potential to lead to the development of greater control over abalone spawning. The findings also highlight the need to further explore abalone reproduction to clearly define a role for novel spawning-associated peptide in sexual maturation and spawning. Copyright (c) 2016 European Peptide Society and John Wiley & Sons, Ltd.",10.1002/psc.2887
"Palanisamy, R; Bhatt, P; Kumaresan, V; Chaurasia, MK; Gnanam, AJ; Pasupuleti, M; Kasi, M; Arockiaraj, J",A redox active site containing murrel cytosolic thioredoxin: Analysis of immunological properties,2014,FISH & SHELLFISH IMMUNOLOGY,36,1,141,150,,"In this study, we have reported the immunological properties of cDNA encoding thioredoxin which is obtained from the database of Channa striatus (named as CsTRx) cDNA library. The analysis showed that the CsTRx polypeptide contains a thioredoxin domain between Val(2) and Asn(106). The domain possessed a thioredoxin active family at 24-42 along with a redox active site (also known as catalytic center) at (31)WCGPC(35). The analysis showed that the catalytic center is responsible for the control of protein function. Phylogenetic study showed that CsTRx clustered together with vertebrate TRx-1. Based on the phylogenetic analysis and other bioinformatics analysis, it is confirmed that the characterized CsTRx belongs to TRx-1 family. In addition, the sub-cellular localization prediction analysis showed that CsTRx is a cytosol thioredoxin. The highest gene expression was observed in gill (P < 0.05). Further, its transcriptional modulation was evaluated under fungal (Aphanomyces invadans), bacterial (Aeromonas hydrophila) and H2O2 challenges. The recombinant CsTRx protein was over-expressed and purified using an Escherichia coli expression vector system. We conducted a H2O2 peroxidase assay using recombinant CsTRx protein under various pH and temperature. Further, we studied the influence of recombinant CsTRx protein on C striatus spleen leukocyte activation. The recombinant CsTRx protein enhanced the cell proliferation in a concentration dependant manner. The results of antioxidant analysis showed that the antioxidant capacity of recombinant CsTRx protein was determined to be 4.2 U/mg protein. We conducted an insulin disulfides assay to study the enzymatic oxidoreductase activity of CsTRx and we observed no activity in the control group. But the recombinant CsTRx protein addition rapidly increased the enzymatic oxidoreductase activity. Over all, the results showed that the CsTRx may contain potential antioxidant properties, which could regulate the oxidative stress created by various biological pathogens as well as chemical stress in the immune system of C striatus, thus protecting it. (C) 2013 Elsevier Ltd. All rights reserved.",10.1016/j.fsi.2013.10.016
"Parker-Graham, CA; Eetemadi, A; Yazdi, Z; Marshman, BC; Loeher, M; Richey, CA; Barnum, S; Moore, JD; Soto, E",Effect of oxytetracycline treatment on the gastrointestinal microbiome of critically endangered white abalone (Haliotis sorenseni) treated for withering syndrome,2020,AQUACULTURE,526,,,,735411,"White abalone (Haliotis sorenseni) are critically endangered marine gastropods that are native to kelp forests in the northeastern Pacific. White abalone are highly susceptible to withering syndrome, a fatal bacterial disease caused by Candidatus Xenohaliotis californiensis (CaXc), an intracellular, order Rickettsiales prokaryote that is endemic throughout the white abalone's range in California and Mexico. Oxytetracycline (OTC) baths at a dose of 500 mg/L are successful in clearing CaXc infections from the gastrointestinal tract of infected abalone. The impact of OTC treatment on the diversity and stability of the gut microbiome in white abalone is unknown. The objectives of this study were two-fold: (1) to characterize the gastrointestinal microbiome of clinically-normal white abalone and (2) to compare the gastrointestinal microbiomes of OTC-treated white abalone to those of control animals. Gastrointestinal tracts from five OTC-treated individuals and five untreated controls were sampled at each time point: day 0, one day after the 21-day OTC treatment (day 22), and at 203 days post-treatment. Gastrointestinal tract microbiomes were analyzed after amplification and sequence of the 16S rRNA. Gastrointestinal microbiomes of untreated animals were dominated by three core bacterial phyla: Proteobacteria, Fusobacteria, and Bacteroidetes. Reduced Shannon a-diversity and absence of various phyla in the microbiome of OTC-treated animals were observed in samples at day 22. Bacterial profiles were improved in terms of alpha-diversity at 203 days but some bacterial phyla, mainly Fusobacteria, remained absent. All animals remained clinically normal throughout the study period and there was no significant difference in a condition index between the two groups. OTC treatment for withering syndrome appears to be clinically safe in white abalone.",10.1016/j.aquaculture.2020.735411
"Ertl, NG; O'Connor, WA; Elizur, A","Molecular effects of a variable environment on Sydney rock oysters, Saccostrea glomerata: Thermal and low salinity stress, and their synergistic effect",2019,MARINE GENOMICS,43,,19,32,,"Bivalves are frequently exposed to salinity and temperature fluctuations in the estuary. This study explored the molecular effect of these fluctuations by exposing Sydney rock oysters, (Saccostrea glomerata), native to Australia, to either low salinity, elevated temperature or a combined salinity and temperature stress. Following the exposures, RNA-Seq was carried out on the collected oyster tissues. Differential transcript analysis resulted in a total of 1473, 1232 and 2571 transcripts, which were differentially expressed in S. glomerata exposed to low salinity (10 ppt), elevated temperature (30 degrees C) or the combined stressor (15 ppt and 30 degrees C), respectively, when compared to control oysters. All stress treatments had some effect on molecular processes such as innate immune response or respiration, with overall the strongest effects seen in S. glomerata exposed to the combined stressor. Additionally, most transporters putatively involved in osmoregulation were found to be suppressed in response to the combined stressor and the low salinity exposure. This study provides insight into the oyster's responses to both, single and dual stressors commonly found in an estuarine environment.",10.1016/j.margen.2018.10.003
"Di, G; Luo, X; You, W; Zhao, J; Kong, X; Ke, C",Proteomic analysis of muscle between hybrid abalone and parental lines Haliotis gigantea Reeve and Haliotis discus hannai Ino,2015,HEREDITY,114,6,564,574,,"To understand the potential molecular mechanism of heterosis, protein expression patterns were compared from hybrids of Haliotis gigantea (G) and Haliotis discus hannai (D) using two-dimensional gel electrophoresis (2-DE) and matrix-assisted laser desorption/ionization time-of-flight/time-of-flight analyses. Expression differences were observed in muscle samples from the four groups with 673 +/- 21.0 stained spots for H. discus hannai female x H. discus hannai male (DD), 692 +/- 25.6 for H. gigantea female x H. gigantea male (GG), 679 +/- 16.2 for H. discus hannai female x H. gigantea male (DG) (F-1 hybrid) and 700 +/- 19 for H. gigantea female x H. discus hannai male (GD) (F-1 hybrid). Different 2-DE image muscle protein spots had a mirrored relationship between purebreds and the F-1 hybrid, suggesting that all stained spots in F-1 hybrid muscle were on 2-DEs from parents. DD and DG clustered together first, and then clustered with GD, whereas the distance of DD and GG was maximal according to hierarchical cluster analysis. We identified 136 differentially expressed protein spots involved in major biological processes, including energy metabolism and stress response. Most energy metabolism proteins were additive, and stress-induced proteins displayed additivity or over-dominance. In these 136 identified protein spots, hybrid offspring with additivity or over-dominance accounted for 68.38%. Data show that a proteomic approach can provide functional prediction of abalone interspecific hybridization.",10.1038/hdy.2014.124
"Barros, J; Winkler, FM; Velasco, LA","Heritability, genetic correlations and genotype-environment interactions for growth and survival of larvae and post-larvae of the Caribbean scallop, Argopecten nucleus (Mollusca: Bivalvia)",2018,AQUACULTURE,495,,948,954,,"The Caribbean scallop Argopecten nucleus is a species with a great potential for commercial aquaculture in the Caribbean given its fast growth and the availability of culture technology. However, its production relies completely on hatchery-reared seed, and the survival in early stages, particularly during the settling process, is the main limitation for this activity to become cost effective. Thus, in order to assess the feasibility of improving survival of larvae and post-larvae of A. nucleus through genetic selection without affecting growth, it was estimated the heritability and the genotype-environment interactions for such traits, as well as the genetic correlations between them. These parameters were estimated based on intraclass correlations of 40 full-sib families (10 half-sib families) at 1, 11 and 75 days post fertilization. Heritability values were very high for the post-larvae survival (0.49), while it was low and not significant for larvae survival (<= 0.07) and medium to high for growth traits of larvae and post-larvae (> 0.3). The traits analyzed in post-larvae exhibited significant genotype-environment interactions in relation to culture depth in the sea. No significant genetic correlations between the measured traits were found. The results suggest the existence of an important genetic component in the variation of post-larval survival, and larval and post-larval growth, as well as a high potential response to direct genetic selection, especially for post-larval survival (50% increase per generation), without affecting the growth traits.",10.1016/j.aquaculture.2018.06.047
"DIXON, FJ; JACOTGUI.H; MCCONAHEY, PJ",EFFECT OF PASSIVELY ADMINISTERED ANTIBODY ON ANTIBODY SYNTHESIS,1967,JOURNAL OF EXPERIMENTAL MEDICINE,125,6,1119,+,,"Suppression of the primary response of rabbits to intravenously ad-ministered KLH [keyhole limpet hemocyanin] can be achieved with very small amounts of hyperimmune anti KLH administered a day later since the rabbit apparently rapidly eliminates most of the KLH by non-immunologic means. The amount of passive anti KLH needed to achieve immunosuppression was directly proportional to the dose of injected antigen. Antibody passively administered as much as 6-8 days after antigen still can be strongly immunosuppressive, suggesting that the antibody must be reacting with immunogen in or on responding cells or perhaps in the process of transfer between cells. There was no evidence that the presence of passively admin-istered hyperimmune anti KLH prior to the injection of antigen had any immunosuppressive action beyond the direct neutralization of the injected antigen. When KLH was injected in Freund''s adjuvant, anti KLH incorporated with the KLH in the adjuvant was much more efficient in causing immunosuppression than was anti KLH given intravenously. The primary responses to 2 mg KLH given intraven-ously and 2 [mu]g given in adjuvant reached approximately equal peaks and were suppressible by comparable amounts of intravenously administered anti KLH. Two observations suggest that passive anti-body neutralizes the immunogenic stimulus at the level of individual antigenic determinants and not merely by aggregating or precipitating entire antigenic molecules. First, anti abalone hemocyanin (AH) which cross reacts approximately 50% with KLH was only partially immunosuppressive even in extremely large amounts, i.e., amounts which could react with and precipitate much more KLH than could the smaller but more suppressive doses of anti KLH. Second, when KLH and anti KLH were given together in adjuvant effective immuno-suppression was achieved only with amounts of anti KLH sufficient to saturate or cover virtually all available antigenic determinants. The immunosuppressive quality of passive antibody increases with time after immunization and with repeated immunization of the donor. In view of their relatively weak immunosuppressive properties, antibodies formed in the 1st weeks of a primary response may not contribute significantly to the turning off of the antibody response. In any event, results obtained by passive transfer of hyperimmune antibody to animals early in a primary response cannot be applied to the natural events in a primary response.",10.1084/jem.125.6.1119
